Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-09-22,71.869,73.19,71.84,72.96,796500,0.0,0.0
2017-09-25,73.008,73.075,72.443,72.826,658400,0.0,0.0
2017-09-26,72.549,72.883,71.429,72.242,706500,0.0,0.0
2017-09-27,72.52,72.788,71.486,72.204,592900,0.0,0.0
2017-09-28,71.84,72.74,71.84,72.472,642300,0.0,0.0
2017-09-29,72.482,73.304,72.348,72.482,713100,0.0,0.0
2017-10-02,72.549,73.668,72.491,73.113,715200,0.0,0.0
2017-10-03,73.371,73.544,72.692,73.132,609800,0.0,0.0
2017-10-04,73.142,73.534,72.683,72.845,832100,0.0,0.0
2017-10-05,73.113,73.362,72.032,72.778,468700,0.0,0.0
2017-10-06,72.769,73.314,72.242,72.338,709500,0.0,0.0
2017-10-09,72.338,72.654,71.936,72.099,561700,0.0,0.0
2017-10-10,72.329,72.329,71.286,71.793,667100,0.0,0.0
2017-10-11,71.802,72.022,71.18,71.888,592500,0.0,0.0
2017-10-12,71.649,72.386,71.419,72.319,950500,0.0,0.0
2017-10-13,72.721,72.807,71.286,71.295,520300,0.0,0.0
2017-10-16,71.687,71.754,70.874,71.678,768600,0.0,0.0
2017-10-17,71.764,72.175,71.113,72.089,531600,0.0,0.0
2017-10-18,72.089,72.577,71.936,72.242,543700,0.0,0.0
2017-10-19,72.013,72.415,71.152,72.395,558300,0.0,0.0
2017-10-20,72.587,73.678,72.491,73.553,911700,0.0,0.0
2017-10-23,73.62,73.993,72.415,73.094,859700,0.0,0.0
2017-10-24,72.769,78.586,69.611,77.256,2543900,0.0,0.0
2017-10-25,76.51,78.28,73.917,74.3,1349200,0.0,0.0
2017-10-26,74.481,74.625,72.415,72.74,1040700,0.0,0.0
2017-10-27,71.62,73.075,71.477,72.979,1121300,0.0,0.0
2017-10-30,72.816,73.563,72.501,73.257,691000,0.0,0.0
2017-10-31,73.381,73.505,72.654,73.199,893700,0.0,0.0
2017-11-01,73.678,73.783,72.309,73.333,923200,0.0,0.0
2017-11-02,73.046,73.515,71.84,73.132,648800,0.0,0.0
2017-11-03,73.132,74.338,72.97,73.706,635900,0.0,0.0
2017-11-06,73.525,74.424,73.161,73.726,541400,0.0,0.0
2017-11-07,73.678,73.783,72.415,72.912,498000,0.0,0.0
2017-11-08,72.912,73.735,72.663,73.716,665500,0.0,0.0
2017-11-09,72.998,73.678,71.812,72.128,1055400,0.0,0.0
2017-11-10,72.175,73.393,71.85,73.326,704600,0.12,0.0
2017-11-13,72.789,73.297,71.754,72.128,737800,0.0,0.0
2017-11-14,71.677,71.974,70.01,70.47,569300,0.0,0.0
2017-11-15,69.741,70.47,68.965,69.856,697200,0.0,0.0
2017-11-16,69.962,71.284,69.712,70.604,524400,0.0,0.0
2017-11-17,70.335,71.102,69.981,70.891,642700,0.0,0.0
2017-11-20,70.958,71.179,70.201,70.977,481400,0.0,0.0
2017-11-21,71.054,71.169,70.211,70.278,677800,0.0,0.0
2017-11-22,70.45,70.786,69.99,70.038,368800,0.0,0.0
2017-11-24,70.383,70.862,69.78,70.105,244700,0.0,0.0
2017-11-27,69.99,70.498,69.54,69.684,579600,0.0,0.0
2017-11-28,69.76,71.792,69.204,71.744,804800,0.0,0.0
2017-11-29,71.447,74.102,71.303,73.795,1084600,0.0,0.0
2017-11-30,73.814,74.734,73.364,73.699,926600,0.0,0.0
2017-12-01,73.671,73.757,71.811,73.124,573300,0.0,0.0
2017-12-04,73.805,74.504,73.421,74.37,586900,0.0,0.0
2017-12-05,74.428,74.638,73.479,73.728,667900,0.0,0.0
2017-12-06,73.488,73.872,71.725,71.744,585900,0.0,0.0
2017-12-07,71.553,73.115,71.553,72.329,453000,0.0,0.0
2017-12-08,72.971,73.776,72.837,73.057,461400,0.0,0.0
2017-12-11,73.326,74.303,73.153,74.083,928500,0.0,0.0
2017-12-12,74.054,74.332,73.354,73.536,554300,0.0,0.0
2017-12-13,74.332,74.993,73.517,74.801,708600,0.0,0.0
2017-12-14,75.089,75.434,73.575,73.671,361900,0.0,0.0
2017-12-15,73.766,74.955,73.383,73.479,1115700,0.0,0.0
2017-12-18,73.958,75.904,73.958,74.801,536900,0.0,0.0
2017-12-19,74.849,75.932,74.571,75.626,494600,0.0,0.0
2017-12-20,75.99,77.744,75.712,77.044,874600,0.0,0.0
2017-12-21,76.967,77.447,76.354,76.536,384100,0.0,0.0
2017-12-22,76.239,76.498,75.606,76.316,381200,0.0,0.0
2017-12-26,76.45,77.648,76.45,77.427,285800,0.0,0.0
2017-12-27,77.734,78.577,77.657,77.983,443100,0.0,0.0
2017-12-28,78.213,78.299,77.245,78.117,352600,0.0,0.0
2017-12-29,78.117,78.702,77.772,78.041,459300,0.0,0.0
2018-01-02,78.319,79.651,77.092,79.478,760200,0.0,0.0
2018-01-03,79.181,79.593,78.252,78.836,1030100,0.0,0.0
2018-01-04,79.584,80.513,79.363,79.9,673700,0.0,0.0
2018-01-05,80.197,80.465,77.332,78.424,985600,0.0,0.0
2018-01-08,78.424,79.037,78.271,78.942,312800,0.0,0.0
2018-01-09,79.315,80.188,78.913,79.632,371400,0.0,0.0
2018-01-10,79.833,79.89,78.731,78.951,385500,0.0,0.0
2018-01-11,79.373,80.648,79.373,80.523,351600,0.0,0.0
2018-01-12,80.763,81.817,80.667,81.654,421100,0.0,0.0
2018-01-16,81.654,82.651,80.542,80.695,559800,0.0,0.0
2018-01-17,80.993,81.318,79.018,79.277,629300,0.0,0.0
2018-01-18,79.373,79.536,78.213,78.434,693000,0.0,0.0
2018-01-19,78.577,79.382,78.156,79.354,544000,0.0,0.0
2018-01-22,79.258,79.43,78.683,79.066,450500,0.0,0.0
2018-01-23,79.287,79.507,78.75,79.267,562400,0.0,0.0
2018-01-24,79.67,79.957,78.865,79.287,584000,0.0,0.0
2018-01-25,79.919,80.063,78.424,78.894,547600,0.0,0.0
2018-01-26,78.922,79.267,78.127,78.827,823000,0.0,0.0
2018-01-29,78.894,81.261,78.894,80.35,772800,0.0,0.0
2018-01-30,79.574,80.025,78.175,78.98,405900,0.0,0.0
2018-01-31,79.354,80.005,77.437,77.667,638400,0.0,0.0
2018-02-01,77.255,78.645,76.68,77.878,532600,0.0,0.0
2018-02-02,76.047,76.67,69.856,70.345,3385100,0.0,0.0
2018-02-05,69.693,71.409,68.859,68.974,1967400,0.0,0.0
2018-02-06,67.997,70.422,67.182,69.808,1832000,0.0,0.0
2018-02-07,69.415,70.594,69.157,69.799,943800,0.0,0.0
2018-02-08,69.655,70.115,68.263,68.301,1346100,0.12,0.0
2018-02-09,68.656,69.472,66.957,68.887,1129400,0.0,0.0
2018-02-12,68.906,69.952,68.013,69.117,782700,0.0,0.0
2018-02-13,68.791,69.789,68.215,69.098,524100,0.0,0.0
2018-02-14,68.445,70.557,68.388,70.269,1550500,0.0,0.0
2018-02-15,70.778,71.872,70.279,71.623,572900,0.0,0.0
2018-02-16,72.112,75.242,71.834,74.176,1457700,0.0,0.0
2018-02-20,73.658,78.237,71.767,76.797,1892300,0.0,0.0
2018-02-21,76.701,79.83,76.701,78.467,1032200,0.0,0.0
2018-02-22,78.957,80.771,78.755,79.005,1188400,0.0,0.0
2018-02-23,79.053,80.07,79.053,80.061,543800,0.0,0.0
2018-02-26,80.617,80.944,79.581,80.483,597200,0.0,0.0
2018-02-27,80.166,81.097,78.765,78.774,1238100,0.0,0.0
2018-02-28,79.091,79.465,78.064,78.083,922600,0.0,0.0
2018-03-01,78.083,78.189,76.24,76.691,911500,0.0,0.0
2018-03-02,75.923,78.179,75.683,77.949,732600,0.0,0.0
2018-03-05,77.728,80.137,77.219,79.849,554700,0.0,0.0
2018-03-06,80.339,80.953,79.561,80.099,843500,0.0,0.0
2018-03-07,79.389,80.137,79.062,79.705,675100,0.0,0.0
2018-03-08,79.859,80.051,78.899,79.101,594200,0.0,0.0
2018-03-09,79.792,80.675,79.369,80.243,529400,0.0,0.0
2018-03-12,80.56,80.915,79.475,79.571,694700,0.0,0.0
2018-03-13,79.859,80.502,78.995,79.273,592600,0.0,0.0
2018-03-14,79.83,80.733,79.446,79.542,464500,0.0,0.0
2018-03-15,79.533,80.195,78.39,78.601,462900,0.0,0.0
2018-03-16,78.717,79.494,78.054,79.139,729300,0.0,0.0
2018-03-19,78.602,79.197,77.824,78.611,345100,0.0,0.0
2018-03-20,78.573,79.168,77.642,77.786,737900,0.0,0.0
2018-03-21,77.805,78.899,77.354,78.246,561200,0.0,0.0
2018-03-22,77.43,77.92,75.165,75.222,543500,0.0,0.0
2018-03-23,75.597,75.597,74.349,74.387,630200,0.0,0.0
2018-03-26,75.587,77.507,74.906,77.382,940100,0.0,0.0
2018-03-27,77.901,79.283,77.085,77.478,742500,0.0,0.0
2018-03-28,77.526,77.526,76.125,76.826,512400,0.0,0.0
2018-03-29,77.44,78.793,76.854,78.141,719400,0.0,0.0
2018-04-02,77.91,78.227,75.894,76.586,624000,0.0,0.0
2018-04-03,77.037,77.872,76.586,77.392,937300,0.0,0.0
2018-04-04,76.019,77.814,75.645,77.622,1026900,0.0,0.0
