Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-10-27,131.432,134.509,129.948,131.883,3037700,0.0,0.0
2017-10-30,131.33,131.524,129.331,130.096,1636000,0.0,0.0
2017-10-31,132.556,137.872,132.556,135.882,3938100,0.0,0.0
2017-11-01,140.387,141.474,138.074,139.622,3463900,0.0,0.0
2017-11-02,139.622,140.156,138.093,138.24,1357300,0.0,0.0
2017-11-03,137.733,139.134,137.365,138.277,1213700,0.0,0.0
2017-11-06,138.24,142.137,137.779,139.475,1772800,0.0,0.0
2017-11-07,140.82,141.345,138.876,140.212,1285900,0.0,0.0
2017-11-08,140.267,140.958,139.198,140.764,2153400,0.0,0.0
2017-11-09,139.991,141.962,139.336,141.501,1455300,0.0,0.0
2017-11-10,141.133,142.497,140.967,141.907,903900,0.0,0.0
2017-11-13,141.649,144.09,141.437,143.022,1282900,0.0,0.0
2017-11-14,142.377,143.049,140.295,141.511,1101200,0.0,0.0
2017-11-15,140.956,140.956,138.655,140.143,1191100,0.5,0.0
2017-11-16,140.494,142.62,140.318,141.603,1269900,0.0,0.0
2017-11-17,141.326,142.056,140.475,140.753,849600,0.0,0.0
2017-11-20,142.111,145.864,141.964,145.079,1771400,0.0,0.0
2017-11-21,145.079,146.715,144.829,146.567,916900,0.0,0.0
2017-11-22,146.53,147.472,145.781,146.678,962300,0.0,0.0
2017-11-24,146.576,147.879,146.409,147.352,436500,0.0,0.0
2017-11-27,146.622,147.888,146.16,146.493,945000,0.0,0.0
2017-11-28,146.613,147.611,145.143,145.578,1413400,0.0,0.0
2017-11-29,146.058,146.271,142.038,144.256,1630000,0.0,0.0
2017-11-30,143.895,146.798,141.427,146.114,1474500,0.0,0.0
2017-12-01,147.288,148.628,143.027,146.973,1803100,0.0,0.0
2017-12-04,147.861,148.212,143.674,146.104,1427100,0.0,0.0
2017-12-05,146.807,148.785,145.827,147.38,1473900,0.0,0.0
2017-12-06,145.67,148.064,145.115,145.901,1066500,0.0,0.0
2017-12-07,146.058,147.204,144.33,146.89,1155700,0.0,0.0
2017-12-08,147.888,148.286,146.881,147.463,1066900,0.0,0.0
2017-12-11,150.929,152.722,150.43,151.826,2596700,0.0,0.0
2017-12-12,150.144,152.011,149.913,150.024,1610900,0.0,0.0
2017-12-13,151.401,154.081,150.976,152.371,1355200,0.0,0.0
2017-12-14,153.203,154.164,152.112,152.51,1161200,0.0,0.0
2017-12-15,153.795,153.795,151.909,153.462,1496300,0.0,0.0
2017-12-18,153.434,154.201,151.678,152.63,1450300,0.0,0.0
